"cell","X","Y","Z"
"ID_23465","20.260273424830388","22.378123643946427","6.9113924050632916"
"ID_23464","17.39054370633318","22.48896985739091","6.035087719298246"
"ID_23488","14.721632368691191","21.360462536933127","7.514705882352941"
"ID_23485","16.605016605016605","18.6143664404534","7.0"
"ID_23483","19.883812987261265","17.680362507948715","7.0"
"ID_23466","27.87508811605197","22.48917911568514","6.590361445783133"
"ID_23467","24.706733567493064","23.349896767618286","6.848101265822785"
"ID_23468","22.266312588893236","23.739701159055997","6.580645161290323"
"ID_23463","31.487758760486035","21.55256700711246","6.6"
"ID_23461","35.481557220687655","20.292085509476813","6.4021739130434785"
"ID_23477","36.362404783457414","31.051215261741575","6.802631578947368"
"ID_23472","34.32003432003432","27.625290783185523","6.035087719298246"
"ID_23474","38.434083377903605","28.41980370070258","6.752808988764045"
"ID_23476","42.49337582670916","31.03891992780882","6.691358024691358"
"ID_23496","38.90185708367527","33.73639737276101","7.409090909090909"
"ID_23513","43.16651375474905","34.02179872768108","9.0"
"ID_23511","47.08290422576137","31.54824583396012","9.619047619047619"
"ID_23580","51.53082076158999","30.311568773107233","13.833333333333334"
"ID_23479","38.180907746125136","13.779144213926822","7.0"
"ID_23481","42.495924848866025","14.726926491632375","7.6911764705882355"
"ID_23498","34.72653472653473","12.262512262512264","8.916666666666666"
"ID_23478","32.601581897356546","11.213250649870368","7.845070422535211"
"ID_23517","37.63878763878764","10.597510597510597","10.0"
"ID_23518","42.745652501750065","11.40037725403579","10.646341463414634"
"ID_23521","46.422627067788355","14.354530483562742","10.46236559139785"
"ID_23669","40.11674599909894","23.424376365552835","18.0"
"ID_23671","35.787505667023744","28.809787845932423","18.337349397590362"
"ID_23570","40.64240427876791","14.412287139559867","13.563636363636364"
"ID_23624","37.91970824937858","12.701880833748968","16.0"
"ID_23605","33.0505765288374","13.128273997839216","15.369565217391305"
"ID_23663","35.63756988414523","14.75261749234352","18.10958904109589"
"ID_23600","33.25817279305652","33.14933547491687","14.0"
"ID_23637","36.34865703831221","32.94417087520536","16.0"
"ID_23564","37.89385145317349","32.176557600286415","12.635593220338983"
"ID_23544","41.55692229086724","30.818012469388616","11.403669724770642"
"ID_23599","44.34891391413131","31.73637956246652","14.295652173913043"
"ID_23634","47.03429360963607","30.283180968112475","16.0"
"ID_23672","48.55845191979646","29.774147421206244","18.714285714285715"
"ID_23728","48.17545994016582","25.807790513672867","21.0"
"ID_23673","43.15013405922497","31.47221329039511","18.4"
"ID_23730","44.72872119930944","27.28193904664493","21.014705882352942"
"ID_23655","39.682839682839685","32.41083241083241","17.0"
"ID_23746","51.90171856838524","25.99419266085933","22.64814814814815"
"ID_23705","54.618662213598924","26.876988902305357","20.189873417721518"
"ID_23811","50.94269800152153","26.31179101767337","25.5"
"ID_23490","43.70504370504371","26.335026335026335","7.0"
"ID_23489","48.10196591018509","25.924957431806746","7.0"
"ID_23561","53.39749242188266","27.072466096856342","12.707317073170731"
"ID_23509","51.07276293716972","26.394433174094193","9.0"
"ID_23608","44.466044466044465","15.41041541041541","15.58"
"ID_23680","43.349602173131586","15.886339415751179","19.0"
"ID_23666","47.01004701004702","16.881097962179044","18.675675675675677"
"ID_23626","50.07928084851162","18.268864422710575","16.858974358974358"
"ID_23722","49.303284597402254","21.77119824178648","21.0"
"ID_23700","45.56751925172978","20.850652429599798","20.410526315789475"
"ID_23679","39.53226175448398","15.715571271126828","19.234567901234566"
"ID_23723","41.9030419030419","21.842021842021843","21.2"
"ID_23629","54.89255489255489","25.418596847168278","16.821428571428573"
"ID_23686","54.361077088349816","21.31877131877132","19.931818181818183"
